【正解】: 3 | 【予測】: 3 (3.4759493) | OOV: 0/1 | 【本文】: OK
【正解】: 3 | 【予測】: 3 (3.4759493) | OOV: 0/1 | 【本文】: ok
【正解】: 3 | 【予測】: 3 (3.4759493) | OOV: 0/1 | 【本文】: ok
【正解】: 3 | 【予測】: 3 (3.4759493) | OOV: 0/1 | 【本文】: Ok
【正解】: 3 | 【予測】: 3 (3.4481564) | OOV: 0/14 | 【本文】: Not really a video but just a bunch of poses that are taught separately.
【正解】: 3 | 【予測】: 3 (3.4759493) | OOV: 0/1 | 【本文】: Ok
【正解】: 3 | 【予測】: 3 (3.4498773) | OOV: 0/1 | 【本文】: Fair
【正解】: 3 | 【予測】: 3 (3.4498773) | OOV: 0/1 | 【本文】: FAIR
【正解】: 3 | 【予測】: 3 (3.4759493) | OOV: 0/1 | 【本文】: OK
【正解】: 3 | 【予測】: 3 (3.4759493) | OOV: 0/1 | 【本文】: Ok
【正解】: 3 | 【予測】: 3 (3.4685063) | OOV: 0/1 | 【本文】: Average
【正解】: 3 | 【予測】: 3 (3.450293) | OOV: 0/1 | 【本文】: Challenges
【正解】: 3 | 【予測】: 3 (3.4931073) | OOV: 0/3 | 【本文】: It is alright
【正解】: 3 | 【予測】: 3 (3.3408713) | OOV: 0/13 | 【本文】: I love these kinds of games but it to hard to get diamonds
【正解】: 3 | 【予測】: 3 (3.4759493) | OOV: 0/1 | 【本文】: OK
【正解】: 3 | 【予測】: 3 (3.4759493) | OOV: 0/1 | 【本文】: OK
【正解】: 3 | 【予測】: 3 (3.4759493) | OOV: 0/1 | 【本文】: ok
【正解】: 3 | 【予測】: 3 (3.0750234) | OOV: 0/1 | 【本文】: k
【正解】: 3 | 【予測】: 3 (3.4759493) | OOV: 0/1 | 【本文】: ok
【正解】: 3 | 【予測】: 3 (3.4759493) | OOV: 0/1 | 【本文】: ok
【正解】: 3 | 【予測】: 3 (3.4759493) | OOV: 0/1 | 【本文】: ok
【正解】: 3 | 【予測】: 3 (3.4759493) | OOV: 0/1 | 【本文】: ok
【正解】: 3 | 【予測】: 3 (3.4759493) | OOV: 0/1 | 【本文】: Ok
【正解】: 3 | 【予測】: 3 (3.4664044) | OOV: 0/25 | 【本文】: I really liked it until I figured out that no matter how good u get; there is no other levels but one. now that suck
【正解】: 3 | 【予測】: 3 (3.4759493) | OOV: 0/1 | 【本文】: ok
【正解】: 3 | 【予測】: 3 (2.9159164) | OOV: 0/1 | 【本文】: eh
【正解】: 3 | 【予測】: 3 (3.490194) | OOV: 0/5 | 【本文】: its an app who cares?
【正解】: 3 | 【予測】: 3 (3.490194) | OOV: 0/5 | 【本文】: its an app who cares?
【正解】: 3 | 【予測】: 3 (3.490194) | OOV: 0/5 | 【本文】: its an app who cares?
【正解】: 3 | 【予測】: 3 (3.4841938) | OOV: 0/1 | 【本文】: None
【正解】: 3 | 【予測】: 3 (3.4841938) | OOV: 0/1 | 【本文】: None
